Train/Value,Time/Buffer,Train/Action_magnitude_L1,Train/Loss,Time/Critic_Time,Train/Entropy,Train/recon_loss,Train/policy_loss,Train/Action_max,Time/Actor_Time,Train/Ratio,Train/PolicyClip,Train/Grad_norm_actor,Train/V,Time/B_Format_Time,Train/Policy_loss,Train/Entropy_Loss,Time/B_Original_Format_Time,Train/Action_magnitude,Train/Action_abs_mean,Train/Return,Train/Entropy_loss,Train/control_penalty,Train/LogProb,Train/Action_std,Itr,train/batch_reward
-0.020606112,0.02291703224182129,,,,,,,,,,,,,,,,,,,,,,,,,
-0.0668928,0.020316123962402344,1.9178588,-0.14904751,0.0,1.4041041,0.0,-0.16318662,0.5919974,0.6331672668457031,0.999563,0.004796916,0.0,-0.0668928,0.4002211093902588,-0.16318662,-0.0014041041135787963,0.38800716400146484,1.5664182,0.31793946,0.10290401,-0.0014041041135787963,1.5543227,-2.8880122,1.1157523,0,0.0116
-0.025211658,0.013581991195678711,1.8638715,-0.029524561,0.0,1.1597762,0.0,-0.0413561,0.5806268,0.5195589065551758,1.0009421,-0.00070599787,0.0,-0.025211658,0.5226759910583496,-0.0413561,-0.001159776210784912,0.3971588611602783,1.5421432,0.28377533,0.01630178,-0.001159776210784912,1.2991318,-2.6484678,0.9051422,1,0.00305
-0.035002235,0.0211639404296875,1.5690669,0.0031422041,0.0,1.031704,0.0,-0.006367769,0.4219463,0.4260060787200928,0.9978867,-4.4619435e-05,0.0,-0.035002235,0.3858449459075928,-0.006367769,-0.0010317039489746093,0.5480082035064697,1.2775186,0.27175054,-0.028204126,-0.0010317039489746093,1.0541677,-2.4481883,0.7454387,2,0.0009
-0.015306238,0.024169206619262695,1.3635428,0.008458007,0.0,1.0030189,0.0,-6.615471e-05,0.31981596,0.42091798782348633,1.0026394,-0.00012874462,0.0,-0.015306238,0.4448249340057373,-6.615471e-05,-0.001003018856048584,0.4934830665588379,1.0970746,0.20088771,-0.014903222,-0.001003018856048584,0.95271814,-2.2489052,0.70421296,3,0.0002
-0.020386407,0.012355804443359375,1.2235459,-0.040966682,0.0,0.9514798,0.0,-0.048897866,0.3040213,0.4572780132293701,1.0016005,-0.00026692482,0.0,-0.020386407,0.6067209243774414,-0.048897866,-0.0009514797925949097,0.4873631000518799,0.97788894,0.15903938,0.027523413,-0.0009514797925949097,0.8882665,-2.11032,0.6624017,4,0.00285
0.20543742,0.013155937194824219,1.371678,-0.18183163,1.1920928955078125e-06,1.0931885,0.0,-0.19107936,0.46769717,0.41881895065307617,1.0022051,-0.0021563473,0.0,0.20543742,0.3902709484100342,-0.19107936,-0.0010931885242462158,0.40493011474609375,1.1025689,0.19174848,0.39425546,-0.0010931885242462158,1.034093,-2.3543522,0.7740494,5,0.01555
0.37390074,0.02231621742248535,1.3173771,-0.084292635,0.0,1.0751119,0.0,-0.09378147,0.3907824,0.4358937740325928,1.0022686,-0.00029904488,0.0,0.37390074,0.4090700149536133,-0.09378147,-0.0010751118659973146,0.41471099853515625,1.0640038,0.21853592,0.46565956,-0.0010751118659973146,1.0563943,-2.1888933,0.77451885,6,0.0145
0.30754757,0.018114805221557617,1.2389879,0.014164997,0.0,1.0464882,0.0,0.0053403703,0.37877062,0.42576098442077637,1.0021678,-0.00027053626,0.0,0.30754757,0.44472718238830566,0.0053403703,-0.0010464881658554077,0.44584012031555176,0.9919369,0.20734894,0.3005894,-0.0010464881658554077,0.9871115,-2.1297054,0.7323911,7,0.0063
0.190865,0.020929813385009766,1.1677833,-0.046966158,0.0,0.9730671,0.0,-0.055136073,0.36023614,0.4367661476135254,1.0009983,-0.00017925241,0.0,0.190865,0.465831995010376,-0.055136073,-0.0009730671048164368,0.45725488662719727,0.93405604,0.19117315,0.24399707,-0.0009730671048164368,0.91429836,-2.0198247,0.6772623,8,0.0077
