policy_env,policy,env,success_rate,stoch_accuracy,itr,num_feedback,time,reward
Policypersisted_models_distill/claire-2,persisted_models_distill/claire,2,0.0,0.0,0,0,48.576982736587524,0.0026666666666666666 
Policypersisted_models_distill/claire-2,persisted_models_distill/claire,2,1.0,0.0,20,0,1435.5696289539337,0.038391224862888484 
Policypersisted_models_distill/claire-2,persisted_models_distill/claire,2,1.0,0.0,40,0,2635.4263508319855,0.05058365758754864 
Policypersisted_models_distill/claire-2,persisted_models_distill/claire,2,1.0,0.0,60,0,3733.926787853241,0.04112554112554113 
Policypersisted_models_distill/claire-2,persisted_models_distill/claire,2,1.0,0.0,80,0,4826.972323894501,0.06398104265402843 
Policypersisted_models_distill/claire-2,persisted_models_distill/claire,2,1.0,0.0,100,0,5900.187300920486,0.06159420289855073 
Policypersisted_models_distill/claire-2,persisted_models_distill/claire,2,1.0,0.0,120,0,7216.4133088588715,0.06373626373626373 
Policypersisted_models_distill/claire-2,persisted_models_distill/claire,2,1.0,0.0,140,0,8695.96847486496,0.05215419501133787 
Policypersisted_models_distill/claire-2,persisted_models_distill/claire,2,1.0,0.0,160,0,10475.319248914719,0.0935672514619883 
Policypersisted_models_distill/claire-2,persisted_models_distill/claire,2,1.0,0.0,180,0,12247.922671794891,0.07666666666666666 
Policypersisted_models_distill/claire-2,persisted_models_distill/claire,2,1.0,0.0,200,0,13864.086154937744,0.07142857142857142 
Policypersisted_models_distill/claire-2,persisted_models_distill/claire,2,1.0,0.0,220,0,15003.884416818619,0.06060606060606061 
Policypersisted_models_distill/claire-2,persisted_models_distill/claire,2,1.0,0.0,240,0,16148.510955095291,0.06687898089171974 
Policypersisted_models_distill/claire-2,persisted_models_distill/claire,2,1.0,0.0,260,0,17278.765283823013,0.07936507936507936 
Policypersisted_models_distill/claire-2,persisted_models_distill/claire,2,1.0,0.0,280,0,18398.97522687912,0.06532663316582915 
Policypersisted_models_distill/claire-2,persisted_models_distill/claire,2,1.0,0.0,300,0,19521.45072388649,0.08013937282229965 
Policypersisted_models_distill/claire-2,persisted_models_distill/claire,2,1.0,0.0,320,0,20751.260375738144,0.08430232558139535 
