policy_env,policy,env,success_rate,stoch_accuracy,itr,num_feedback,time,reward
Policypersisted_models_distill/distilled_with_mlp_2-2,persisted_models_distill/distilled_with_mlp_2,2,0.8,0.0,0,0,15.753282070159912,0.03007518796992481 
Policypersisted_models_distill/distilled_with_mlp_2-2,persisted_models_distill/distilled_with_mlp_2,2,0.6,0.0,20,0,299.69588899612427,0.022222222222222223 
Policypersisted_models_distill/distilled_with_mlp_2-2,persisted_models_distill/distilled_with_mlp_2,2,0.6,0.0,40,0,576.4723880290985,0.028888888888888888 
Policypersisted_models_distill/distilled_with_mlp_2-2,persisted_models_distill/distilled_with_mlp_2,2,0.8,0.0,60,0,860.1257860660553,0.044753086419753084 
Policypersisted_models_distill/distilled_with_mlp_2-2,persisted_models_distill/distilled_with_mlp_2,2,0.6,0.0,80,0,1151.552719116211,0.020277481323372464 
Policypersisted_models_distill/distilled_with_mlp_2-2,persisted_models_distill/distilled_with_mlp_2,2,0.4,0.0,100,0,1435.4507310390472,0.019153225806451613 
Policypersisted_models_distill/distilled_with_mlp_2-2,persisted_models_distill/distilled_with_mlp_2,2,1.0,0.0,120,0,1700.866054058075,0.04797047970479705 
Policypersisted_models_distill/distilled_with_mlp_2-2,persisted_models_distill/distilled_with_mlp_2,2,0.8,0.0,140,0,1982.1346700191498,0.03162486368593239 
Policypersisted_models_distill/distilled_with_mlp_2-2,persisted_models_distill/distilled_with_mlp_2,2,0.6,0.0,160,0,2252.336548089981,0.024017467248908297 
Policypersisted_models_distill/distilled_with_mlp_2-2,persisted_models_distill/distilled_with_mlp_2,2,1.0,0.0,180,0,2514.792860031128,0.05014749262536873 
Policypersisted_models_distill/distilled_with_mlp_2-2,persisted_models_distill/distilled_with_mlp_2,2,0.2,0.0,200,0,2792.574644088745,0.02 
Policypersisted_models_distill/distilled_with_mlp_2-2,persisted_models_distill/distilled_with_mlp_2,2,0.4,0.0,220,0,3058.010465860367,0.01949317738791423 
Policypersisted_models_distill/distilled_with_mlp_2-2,persisted_models_distill/distilled_with_mlp_2,2,0.4,0.0,240,0,3336.0666851997375,0.01132404181184669 
Policypersisted_models_distill/distilled_with_mlp_2-2,persisted_models_distill/distilled_with_mlp_2,2,0.6,0.0,260,0,3598.9718630313873,0.025527192008879023 
Policypersisted_models_distill/distilled_with_mlp_2-2,persisted_models_distill/distilled_with_mlp_2,2,0.6,0.0,280,0,3866.1588480472565,0.013458950201884253 
Policypersisted_models_distill/distilled_with_mlp_2-2,persisted_models_distill/distilled_with_mlp_2,2,0.6,0.0,300,0,4092.954232931137,0.021148036253776436 
Policypersisted_models_distill/distilled_with_mlp_2-2,persisted_models_distill/distilled_with_mlp_2,2,0.4,0.0,320,0,4322.160196065903,0.025616698292220113 
Policypersisted_models_distill/distilled_with_mlp_2-2,persisted_models_distill/distilled_with_mlp_2,2,0.4,0.0,340,0,4550.654783964157,0.021052631578947368 
Policypersisted_models_distill/distilled_with_mlp_2-2,persisted_models_distill/distilled_with_mlp_2,2,0.6,0.0,360,0,4786.511909008026,0.02502844141069397 
Policypersisted_models_distill/distilled_with_mlp_2-2,persisted_models_distill/distilled_with_mlp_2,2,0.6,0.0,380,0,5015.063104867935,0.028011204481792718 
Policypersisted_models_distill/distilled_with_mlp_2-2,persisted_models_distill/distilled_with_mlp_2,2,0.4,0.0,400,0,5254.285249948502,0.013227513227513227 
Policypersisted_models_distill/distilled_with_mlp_2-2,persisted_models_distill/distilled_with_mlp_2,2,1.0,0.0,420,0,5472.625683784485,0.05793450881612091 
Policypersisted_models_distill/distilled_with_mlp_2-2,persisted_models_distill/distilled_with_mlp_2,2,0.6,0.0,440,0,5696.8101670742035,0.01809954751131222 
Policypersisted_models_distill/distilled_with_mlp_2-2,persisted_models_distill/distilled_with_mlp_2,2,0.8,0.0,460,0,5925.903481960297,0.027314112291350532 
Policypersisted_models_distill/distilled_with_mlp_2-2,persisted_models_distill/distilled_with_mlp_2,2,0.6,0.0,480,0,6171.9278790950775,0.025219298245614034 
Policypersisted_models_distill/distilled_with_mlp_2-2,persisted_models_distill/distilled_with_mlp_2,2,0.6,0.0,500,0,6398.0742790699005,0.026499302649930265 
Policypersisted_models_distill/distilled_with_mlp_2-2,persisted_models_distill/distilled_with_mlp_2,2,0.6,0.0,520,0,6621.620425224304,0.026875699888017916 
Policypersisted_models_distill/distilled_with_mlp_2-2,persisted_models_distill/distilled_with_mlp_2,2,1.0,0.0,540,0,6849.456414937973,0.05272108843537415 
Policypersisted_models_distill/distilled_with_mlp_2-2,persisted_models_distill/distilled_with_mlp_2,2,0.6,0.0,560,0,7081.610076189041,0.027777777777777776 
Policypersisted_models_distill/distilled_with_mlp_2-2,persisted_models_distill/distilled_with_mlp_2,2,0.6,0.0,580,0,7291.308949947357,0.016551724137931035 
Policypersisted_models_distill/distilled_with_mlp_2-2,persisted_models_distill/distilled_with_mlp_2,2,0.6,0.0,600,0,7505.033668041229,0.026284348864994027 
Policypersisted_models_distill/distilled_with_mlp_2-2,persisted_models_distill/distilled_with_mlp_2,2,1.0,0.0,620,0,7745.275376081467,0.043076923076923075 
Policypersisted_models_distill/distilled_with_mlp_2-2,persisted_models_distill/distilled_with_mlp_2,2,1.0,0.0,640,0,7979.409147977829,0.05964912280701754 
Policypersisted_models_distill/distilled_with_mlp_2-2,persisted_models_distill/distilled_with_mlp_2,2,0.8,0.0,660,0,8217.27653503418,0.02867383512544803 
Policypersisted_models_distill/distilled_with_mlp_2-2,persisted_models_distill/distilled_with_mlp_2,2,0.4,0.0,680,0,8482.786003112793,0.018796992481203006 
Policypersisted_models_distill/distilled_with_mlp_2-2,persisted_models_distill/distilled_with_mlp_2,2,1.0,0.0,700,0,8722.554514169693,0.057065217391304345 
Policypersisted_models_distill/distilled_with_mlp_2-2,persisted_models_distill/distilled_with_mlp_2,2,0.6,0.0,720,0,8982.651733875275,0.026905829596412557 
Policypersisted_models_distill/distilled_with_mlp_2-2,persisted_models_distill/distilled_with_mlp_2,2,0.8,0.0,740,0,9246.06310391426,0.037366548042704624 
Policypersisted_models_distill/distilled_with_mlp_2-2,persisted_models_distill/distilled_with_mlp_2,2,0.8,0.0,760,0,9487.688518047333,0.028493894165535955 
Policypersisted_models_distill/distilled_with_mlp_2-2,persisted_models_distill/distilled_with_mlp_2,2,0.6,0.0,780,0,9735.428701162338,0.013157894736842105 
Policypersisted_models_distill/distilled_with_mlp_2-2,persisted_models_distill/distilled_with_mlp_2,2,0.8,0.0,800,0,9999.702358007431,0.038461538461538464 
Policypersisted_models_distill/distilled_with_mlp_2-2,persisted_models_distill/distilled_with_mlp_2,2,0.6,0.0,820,0,10260.55022096634,0.02850877192982456 
Policypersisted_models_distill/distilled_with_mlp_2-2,persisted_models_distill/distilled_with_mlp_2,2,0.8,0.0,840,0,10506.617908239365,0.02040816326530612 
Policypersisted_models_distill/distilled_with_mlp_2-2,persisted_models_distill/distilled_with_mlp_2,2,0.6,0.0,860,0,10742.68428516388,0.02446183953033268 
Policypersisted_models_distill/distilled_with_mlp_2-2,persisted_models_distill/distilled_with_mlp_2,2,0.8,0.0,880,0,10964.86510515213,0.0420032310177706 
Policypersisted_models_distill/distilled_with_mlp_2-2,persisted_models_distill/distilled_with_mlp_2,2,0.6,0.0,900,0,11213.000226020813,0.027131782945736434 
Policypersisted_models_distill/distilled_with_mlp_2-2,persisted_models_distill/distilled_with_mlp_2,2,1.0,0.0,920,0,11456.751522064209,0.031117397454031116 
Policypersisted_models_distill/distilled_with_mlp_2-2,persisted_models_distill/distilled_with_mlp_2,2,1.0,0.0,940,0,11701.92993092537,0.020618556701030927 
