policy_env,policy,env,success_rate,stoch_accuracy,itr,num_feedback,time,reward
Policypersisted_models_distill/original_distillation-2,persisted_models_distill/original_distillation,2,0.0,0.0,0,0,35.35263109207153,0.005333333333333333 
Policypersisted_models_distill/original_distillation-2,persisted_models_distill/original_distillation,2,0.0,0.0,20,0,393.3735921382904,0.002 
Policypersisted_models_distill/original_distillation-2,persisted_models_distill/original_distillation,2,0.0,0.0,40,0,759.5872139930725,0.002 
Policypersisted_models_distill/original_distillation-2,persisted_models_distill/original_distillation,2,0.0,0.0,60,0,1110.9017159938812,0.004 
Policypersisted_models_distill/original_distillation-2,persisted_models_distill/original_distillation,2,0.0,0.0,80,0,1474.6206181049347,0.004666666666666667 
Policypersisted_models_distill/original_distillation-2,persisted_models_distill/original_distillation,2,0.2,0.0,100,0,1811.7083468437195,0.004163197335553705 
Policypersisted_models_distill/original_distillation-2,persisted_models_distill/original_distillation,2,0.0,0.0,120,0,2155.54265499115,0.0 
Policypersisted_models_distill/original_distillation-2,persisted_models_distill/original_distillation,2,0.2,0.0,140,0,2468.936695098877,0.006472491909385114 
Policypersisted_models_distill/original_distillation-2,persisted_models_distill/original_distillation,2,0.2,0.0,160,0,2804.9581050872803,0.0033305578684429643 
Policypersisted_models_distill/original_distillation-2,persisted_models_distill/original_distillation,2,0.2,0.0,180,0,3122.4830598831177,0.003110419906687403 
Policypersisted_models_distill/original_distillation-2,persisted_models_distill/original_distillation,2,0.0,0.0,200,0,3457.8491480350494,0.004666666666666667 
