Train/Value,Time/Buffer,Train/Action_abs_mean,Train/control_penalty,Time/Actor_Time,Train/PolicyClip,Train/Grad_norm_actor,Train/policy_loss,Train/Action_magnitude_L1,Train/Entropy_Loss,Train/Ratio,Train/Policy_loss,Train/V,Train/Action_max,Train/Loss,Time/B_Original_Format_Time,Train/Return,Train/LogProb,Train/Action_std,Time/Critic_Time,Train/Action_magnitude,Time/B_Format_Time,Itr,train/batch_reward,Train/Entropy_loss,Train/recon_loss,Train/Entropy
0.19370088,0.0029129981994628906,,,,,,,,,,,,,,,,,,,,,,,,,
0.18819235,0.00030303001403808594,0.48661858,2.1194043,0.009045124053955078,0.0021214855,0.0,0.043928094,2.7533524,-0.0018353854417800903,0.88719076,0.043928094,0.18819235,0.58973795,0.06328675,0.003427267074584961,0.14150488,-3.826936,1.5730591,0.0,2.195993,0.003593921661376953,0,0.0,-0.0018353854417800903,0.0,1.8353854
0.15120094,0.0002319812774658203,0.24171375,1.4834359,0.009019851684570312,0.0027926958,0.0,0.035602562,2.3317566,-0.001600537419319153,0.90823656,0.035602562,0.15120094,0.6265857,0.048836384,0.0033881664276123047,0.11525834,-3.678955,1.2266829,0.0,1.8445404,0.0035119056701660156,1,0.0,-0.001600537419319153,0.0,1.6005374
0.33501458,0.00034165382385253906,0.22593433,1.452541,0.009308099746704102,0.0095175095,0.0,-0.14479375,1.9237999,-0.0014655919075012207,1.004593,-0.14479375,0.33501458,0.7114083,-0.13173392,0.004564046859741211,0.46635285,-3.094252,1.0764173,0.0,1.5253443,0.0033850669860839844,2,0.015,-0.0014655919075012207,0.0,1.4655919
0.38037792,0.0004239082336425781,0.33853775,1.5108484,0.010027170181274414,0.020547323,0.0,-0.11805322,1.9070297,-0.0014937039613723755,1.0586966,-0.11805322,0.38037792,0.5923343,-0.10443845,0.0034770965576171875,0.47917965,-2.982081,1.1249068,9.5367431640625e-07,1.5040289,0.003381013870239258,3,0.015,-0.0014937039613723755,0.0,1.493704
0.40267193,0.000308990478515625,0.26145253,1.4151983,0.00945281982421875,0.013301952,0.0,-0.035636257,1.8063865,-0.0014763914346694947,1.0241187,-0.035636257,0.40267193,0.74514633,-0.022960667,0.004027128219604492,0.42824394,-2.9666975,1.0802077,0.0,1.4384186,0.003674030303955078,4,0.01,-0.0014763914346694947,0.0,1.4763914
0.4073032,0.00029730796813964844,0.3428933,1.4538311,0.009412050247192383,0.0047402857,0.0,0.03553449,1.8439095,-0.001475518822669983,0.9428616,0.03553449,0.4073032,0.89536154,0.04859728,0.003500223159790039,0.36322272,-3.1366472,1.0710961,0.0,1.4658339,0.0033812522888183594,5,0.005,-0.001475518822669983,0.0,1.4755188
0.439565,0.0005381107330322266,0.46323678,1.4313949,0.009279012680053711,0.015568937,0.0,-0.5336355,1.9070077,-0.0013343549966812133,1.087282,-0.5336355,0.439565,0.9325265,-0.52065593,0.0039370059967041016,0.9363086,-2.7674222,0.95765775,0.0,1.5013379,0.0035169124603271484,6,0.045,-0.0013343549966812133,0.0,1.334355
0.6041798,0.00030422210693359375,0.3860302,1.1671486,0.009109973907470703,0.012690408,0.0,-0.04006572,1.4498557,-0.0011438467502593995,1.0282927,-0.04006572,0.6041798,0.4049238,-0.029538082,0.0033330917358398438,0.6317494,-2.4057178,0.7975364,0.0,1.149591,0.003693103790283203,7,0.01,-0.0011438467502593995,0.0,1.1438468
0.6597623,0.00023293495178222656,0.5438222,1.3242471,0.009267091751098633,0.015666284,0.0,-0.29007342,1.6539856,-0.0011484405994415282,1.0859723,-0.29007342,0.6597623,0.6709177,-0.27797937,0.003767728805541992,0.9188045,-2.228886,0.8035415,0.0,1.3058689,0.003384828567504883,8,0.025,-0.0011484405994415282,0.0,1.1484406
