policy_env,policy,env,success_rate,stoch_accuracy,itr,num_feedback,time,reward
Policypersisted_models-2,persisted_models,2,0.0,0.0,0,0,26.436473846435547,0.007333333333333333 
Policypersisted_models-2,persisted_models,2,1.0,0.0,100,0,137.11755919456482,0.04592901878914405 
Policypersisted_models-2,persisted_models,2,1.0,0.0,200,0,252.32334399223328,0.03483870967741935 
Policypersisted_models-2,persisted_models,2,1.0,0.0,300,0,368.7185900211334,0.051597051597051594 
Policypersisted_models-2,persisted_models,2,0.0,0.0,400,0,505.21861004829407,0.008 
Policypersisted_models-2,persisted_models,2,1.0,0.0,500,0,619.7364509105682,0.06690777576853527 
Policypersisted_models-2,persisted_models,2,1.0,0.0,600,0,738.1252009868622,0.05945945945945946 
Policypersisted_models-2,persisted_models,2,1.0,0.0,700,0,855.1754231452942,0.03794642857142857 
Policypersisted_models-2,persisted_models,2,1.0,0.0,800,0,972.3980889320374,0.05909090909090909 
Policypersisted_models-2,persisted_models,2,1.0,0.0,900,0,1092.5923480987549,0.0466786355475763 
Policypersisted_models-2,persisted_models,2,0.2,0.0,1000,0,1224.6374399662018,0.00702576112412178 
Policypersisted_models-2,persisted_models,2,1.0,0.0,1100,0,1333.0419631004333,0.059375 
Policypersisted_models-2,persisted_models,2,1.0,0.0,1200,0,1450.5777401924133,0.05485232067510549 
Policypersisted_models-2,persisted_models,2,1.0,0.0,1300,0,1566.5235300064087,0.04970178926441352 
Policypersisted_models-2,persisted_models,2,1.0,0.0,1400,0,1682.849065065384,0.050505050505050504 
Policypersisted_models-2,persisted_models,2,1.0,0.0,1500,0,1802.5551450252533,0.05066079295154185 
Policypersisted_models-2,persisted_models,2,0.2,0.0,1600,0,1934.5052120685577,0.013776337115072933 
Policypersisted_models-2,persisted_models,2,1.0,0.0,1700,0,2046.9854669570923,0.043402777777777776 
Policypersisted_models-2,persisted_models,2,1.0,0.0,1800,0,2160.3700828552246,0.06053811659192825 
Policypersisted_models-2,persisted_models,2,1.0,0.0,1900,0,2270.9972410202026,0.050359712230215826 
Policypersisted_models-2,persisted_models,2,1.0,0.0,2000,0,2386.328266143799,0.04355400696864112 
Policypersisted_models-2,persisted_models,2,1.0,0.0,2100,0,2506.030788898468,0.036585365853658534 
Policypersisted_models-2,persisted_models,2,1.0,0.0,2200,0,2617.930792093277,0.05459770114942529 
Policypersisted_models-2,persisted_models,2,1.0,0.0,2300,0,2736.4472970962524,0.04415954415954416 
Policypersisted_models-2,persisted_models,2,1.0,0.0,2400,0,2847.0514109134674,0.04938271604938271 
Policypersisted_models-2,persisted_models,2,0.6,0.0,2500,0,2966.573194026947,0.022754491017964073 
Policypersisted_models-2,persisted_models,2,0.8,0.0,2600,0,3088.6923310756683,0.03538812785388128 
Policypersisted_models-2,persisted_models,2,0.6,0.0,2700,0,3209.189108133316,0.023784901758014478 
Policypersisted_models-2,persisted_models,2,1.0,0.0,2800,0,3325.279797077179,0.031007751937984496 
Policypersisted_models-2,persisted_models,2,1.0,0.0,2900,0,3433.7885479927063,0.03724928366762178 
Policypersisted_models-2,persisted_models,2,0.8,0.0,3000,0,3557.600830078125,0.03129657228017884 
Policypersisted_models-2,persisted_models,2,1.0,0.0,3100,0,3671.374111175537,0.05357142857142857 
Policypersisted_models-2,persisted_models,2,1.0,0.0,3200,0,3788.43581199646,0.05 
Policypersisted_models-2,persisted_models,2,1.0,0.0,3300,0,3905.6231491565704,0.04873294346978557 
Policypersisted_models-2,persisted_models,2,1.0,0.0,3400,0,4016.3312380313873,0.04640371229698376 
Policypersisted_models-2,persisted_models,2,1.0,0.0,3500,0,4132.102600097656,0.045454545454545456 
Policypersisted_models-2,persisted_models,2,1.0,0.0,3600,0,4253.621088027954,0.043697478991596636 
Policypersisted_models-2,persisted_models,2,1.0,0.0,3700,0,4378.831426143646,0.06581740976645435 
Policypersisted_models-2,persisted_models,2,0.8,0.0,3800,0,4506.305265903473,0.0334855403348554 
Policypersisted_models-2,persisted_models,2,1.0,0.0,3900,0,4622.268487930298,0.06444444444444444 
Policypersisted_models-2,persisted_models,2,1.0,0.0,4000,0,4739.286638021469,0.06626506024096386 
Policypersisted_models-2,persisted_models,2,1.0,0.0,4100,0,4862.1726770401,0.03189792663476874 
Policypersisted_models-2,persisted_models,2,0.4,0.0,4200,0,4988.532590866089,0.019444444444444445 
Policypersisted_models-2,persisted_models,2,1.0,0.0,4300,0,5110.396764039993,0.03983516483516483 
Policypersisted_models-2,persisted_models,2,1.0,0.0,4400,0,5246.876540899277,0.06136363636363636 
Policypersisted_models-2,persisted_models,2,1.0,0.0,4500,0,5376.899863004684,0.03991596638655462 
Policypersisted_models-2,persisted_models,2,1.0,0.0,4600,0,5499.044611930847,0.04721030042918455 
Policypersisted_models-2,persisted_models,2,1.0,0.0,4700,0,5632.919674873352,0.06887755102040816 
Policypersisted_models-2,persisted_models,2,1.0,0.0,4800,0,5764.641389131546,0.052742616033755275 
Policypersisted_models-2,persisted_models,2,1.0,0.0,4900,0,5901.2813539505005,0.03354037267080745 
Policypersisted_models-2,persisted_models,2,0.4,0.0,5000,0,6045.826349258423,0.015920398009950248 
Policypersisted_models-2,persisted_models,2,1.0,0.0,5100,0,6172.122339963913,0.05301204819277108 
Policypersisted_models-2,persisted_models,2,1.0,0.0,5200,0,6306.704793930054,0.06132075471698113 
